epoch	loss	acc	lr
0	0.6948264295404608	0.5252525252525253	0.001
1	0.6411182862339597	0.7323232323232324	0.001
2	0.6029742095205519	0.8434343434343434	0.001
3	0.5641839790223825	0.8636363636363636	0.001
4	0.5092138581805759	0.8636363636363636	0.001
5	0.4490417109595405	0.9090909090909091	0.001
6	0.4066356640271466	0.9141414141414141	0.001
7	0.3726122442520026	0.9040404040404041	0.001
8	0.3193004901963051	0.9191919191919192	0.001
9	0.307501781167406	0.9242424242424242	0.001
10	0.28864814356119944	0.9141414141414141	0.001
11	0.2482708975522205	0.9393939393939394	0.001
12	0.22870572859590704	0.9494949494949495	0.001
13	0.17641744439047996	0.9646464646464646	0.001
14	0.1803368077133641	0.9595959595959596	0.001
15	0.17150647298555183	0.9545454545454546	0.001
16	0.14195213000280688	0.9747474747474747	0.001
17	0.13428242323976575	0.9696969696969697	0.001
18	0.1586093661761043	0.9595959595959596	0.001
19	0.14775154717040784	0.9545454545454546	0.001
20	0.09518626460222283	0.98989898989899	0.001
21	0.095401331782341	0.9797979797979798	0.001
22	0.12021725632325568	0.9747474747474747	0.001
23	0.09473990242589604	0.9797979797979798	0.001
24	0.10682259059765122	0.9797979797979798	0.001
25	0.08094801422622469	0.9848484848484849	0.001
26	0.08513333847877955	0.9797979797979798	0.001
27	0.060457987955423315	0.9949494949494949	0.001
28	0.12398561127860137	0.9696969696969697	0.001
29	0.06959276398022969	0.9949494949494949	0.001
30	0.06597921447922485	0.98989898989899	0.001
31	0.05908925379767562	0.9949494949494949	0.001
32	0.08957166288687725	0.9797979797979798	0.001
33	0.08024604468032567	0.9797979797979798	0.001
34	0.06777615357905326	0.9848484848484849	0.001
