epoch	loss	acc	lr
0	0.10918202432342086	0.95695618754804	0.001
1	0.10466151932994625	0.9661798616448886	0.001
2	0.10302823380302985	0.9684857801691007	0.001
3	0.11151176467566513	0.9600307455803229	0.001
4	0.06668672815529339	0.9815526518063028	0.001
5	0.06241988329299877	0.9838585703305149	0.001
6	0.08543049282774466	0.9738662567255957	0.001
7	0.06069817714612189	0.9800153727901614	0.001
8	0.040706341866071666	0.9907763259031515	0.001
9	0.046141712094151015	0.9869331283627979	0.001
10	0.0601116025428088	0.9815526518063028	0.001
11	0.029384112964132993	0.9923136049192929	0.001
12	0.05411679368823349	0.9830899308224442	0.001
13	0.06439212739086787	0.9807840122982321	0.001
14	0.028191195079859212	0.9930822444273636	0.001
15	0.05032102296076612	0.9877017678708686	0.001
16	0.035089002828579755	0.9907763259031515	0.001
17	0.019709627998586197	0.9953881629515757	0.0001
18	0.038884914030058226	0.9884704073789393	0.0001
19	0.017112479789639257	0.9961568024596464	0.0001
20	0.02266186559946848	0.9938508839354343	0.0001
21	0.015903888575569493	0.9984627209838586	0.0001
22	0.012971267573120964	0.9984627209838586	0.0001
23	0.02004229966245039	0.9930822444273636	0.0001
24	0.02174866856823888	0.994619523443505	0.0001
25	0.015831547997319936	0.994619523443505	0.0001
26	0.03459367463934299	0.9930822444273636	0.0001
27	0.01553573203872643	0.9953881629515757	0.0001
28	0.0162245745776539	0.9961568024596464	1e-05
29	0.01852377722212339	0.9953881629515757	1e-05
30	0.027810949642142476	0.9923136049192929	1e-05
31	0.015066151572162319	0.9969254419677172	1e-05
32	0.013792209719865368	0.9984627209838586	1e-05
33	0.01569747038491265	0.9969254419677172	1e-05
34	0.025291233011582245	0.9969254419677172	1e-05
35	0.013056362618146024	0.9992313604919293	1e-05
36	0.01230556131154442	0.9976940814757879	1e-05
37	0.018340992351192523	0.9961568024596464	1e-05
38	0.010884122062742217	0.9992313604919293	1e-05
39	0.0339948039836208	0.994619523443505	1.0000000000000002e-06
40	0.012920154790486353	0.9976940814757879	1.0000000000000002e-06
41	0.03457249269006827	0.9923136049192929	1.0000000000000002e-06
42	0.011746386388033273	0.9992313604919293	1.0000000000000002e-06
43	0.011639679599461002	0.9984627209838586	1.0000000000000002e-06
44	0.018642115819022392	0.9976940814757879	1.0000000000000002e-06
45	0.014647782517065201	0.9976940814757879	1.0000000000000002e-06
46	0.011121630553030148	0.9984627209838586	1.0000000000000002e-06
